entry_ts,exit_ts,entry_price,exit_price,position,pnl,pnl_pct,regime,strategy,exit_reason,mae,mfe,pnl_R,reward_multiple,stop_distance_pct,take_profit_multiple,hold_time_hours,trade_type
2025-02-17 01:00:00+00:00,2025-02-17 19:00:00+00:00,0.7962,0.8067,18.90054153630331702914243788,0.1832086192738489429585863931,1.217445365486058779201205727,ranging,range_rsi_bb,signal_exit,-1.645315247425270032655111781,4.132127606129113288118563175,0.18539777139381605,1.5,6.566666666666666,1.5,18.0,long
2025-02-18 16:00:00+00:00,2025-02-19 07:00:00+00:00,0.7395,0.7631,20.38687283853384497639891413,0.4655729763263135643415243621,3.088154158215010141987829614,ranging,range_rsi_bb,signal_exit,-0.9060175794455713319810682894,4.124408384043272481406355646,0.4702772829769051,1.5,6.566666666666666,1.5,15.0,long
2025-02-20 17:00:00+00:00,2025-02-21 08:00:00+00:00,0.8005,0.801,18.92058514746374190468235560,-0.005695096129386586313309389040,-0.03760149906308557151780137416,ranging,range_rsi_bb,signal_exit,-0.7495315427857589006870705809,1.324172392254840724547158026,-0.005726116608591712,1.5,6.566666666666666,1.5,15.0,long
2025-02-21 13:00:00+00:00,2025-02-21 13:00:00+00:00,0.8161,0.8161,18.55786563671770298584882889,-0.01514507414612531740675122926,-0.100,ranging,range_rsi_bb,signal_exit,0,0,-0.015228426395939087,1.5,6.566666666666666,1.5,0.0,long
2025-02-21 17:00:00+00:00,2025-02-22 11:00:00+00:00,0.7697,0.7687,19.67364217877536521909863139,-0.03479677092159998846301974934,-0.2297908275951669481616214110,ranging,range_rsi_bb,signal_exit,-2.546446667532804988956736391,1.766922177471742237235286475,-0.034993527044949284,1.5,6.566666666666666,1.5,18.0,long
2025-02-22 17:00:00+00:00,2025-02-23 06:00:00+00:00,0.782,0.7748,19.35752285085058645891401997,-0.1543723732309632568925475265,-1.019795396419437340153452685,ranging,range_rsi_bb,signal_exit,-2.276214833759590792838874680,0.3196930946291560102301790281,-0.15529879133290925,1.5,6.566666666666666,1.5,13.0,long
2025-02-23 07:00:00+00:00,2025-02-23 13:00:00+00:00,0.7872,0.7772,19.20023756781061245215559134,-0.2069248003158085325193712390,-1.369054878048780487804878049,ranging,range_rsi_bb,signal_exit,-2.451727642276422764227642276,0.1397357723577235772357723577,-0.20848551442367216,1.5,6.566666666666666,1.5,6.0,long
2025-02-24 03:00:00+00:00,2025-02-24 22:00:00+00:00,0.7384,0.6799,20.42712390754759323193252413,-1.208875150136275812706443585,-8.014612676056338028169014085,ranging,trend_macd,stop_loss,-9.263271939328277356446370531,1.354279523293607800650054171,-1.2204993922928433,1.5,6.566666666666666,1.5,19.0,long
2025-02-25 15:00:00+00:00,2025-02-26 11:00:00+00:00,0.6542,0.6803,22.77905383798945501460258221,0.5790367148455405496346932590,3.885616019565881993274228065,trending_down,range_rsi_bb,stop_loss,-1.757872210333231427697951697,6.297768266585142158361357383,0.5917181755684084,1.5,6.566666666666666,1.5,20.0,long
2025-02-27 03:00:00+00:00,2025-02-27 05:00:00+00:00,0.6582,0.663,22.77258056523781913247981354,0.09421016579838885775106898862,0.6285323609845031905195989062,trending_down,range_rsi_bb,signal_exit,-0.9571558796718322698268003646,0.9419629292008508052263749620,0.09571558796718323,1.5,6.566666666666666,1.5,2.0,long
2025-02-27 20:00:00+00:00,2025-02-28 06:00:00+00:00,0.6337,0.5886,23.67531016712843755982463882,-1.081691776101864332295803993,-7.209815370048919046867602966,ranging,trend_macd,stop_loss,-8.284677292094050812687391510,2.398611330282468044816159066,-1.0979414269110028,1.5,6.566666666666666,1.5,10.0,long
2025-02-28 13:00:00+00:00,2025-02-28 17:00:00+00:00,0.6144,0.6266,24.15493210692384640595133955,0.2795546912462724439946372331,1.883691406250000000000000000,trending_down,range_rsi_bb,stop_loss,-0.2604166666666666666666666667,3.710937500,0.28685655932741116,1.5,6.566666666666666,1.5,4.0,long
2025-03-01 21:00:00+00:00,2025-03-02 15:00:00+00:00,0.6681,0.8659,22.27619142371045067866441941,4.386941709456136264997166638,29.47674000898069151324651997,ranging,trending_ema_crossover,take_profit,-3.457566232599910193084867535,34.62056578356533453075886843,4.488843656189953,1.5,6.566666666666666,1.5,18.0,long
2025-03-02 17:00:00+00:00,2025-03-02 23:00:00+00:00,1.0316,1.135,15.06471960701761587646885770,1.540593550611656487607087733,9.913241566498642884839084921,trending_up,trending_ema_crossover,take_profit,-4.837146180690189996122528112,10.94416440480806514152772392,1.5096306954058847,1.5,6.566666666666666,1.5,6.0,long
2025-03-03 19:00:00+00:00,2025-03-04 17:00:00+00:00,0.8367,0.9263,18.85007025121443888049042280,1.671505474435113788956943604,10.59802796701326640372893510,ranging,range_rsi_bb,take_profit,-9.453806621250149396438388909,13.87594119756185012549300825,1.6139128883776548,1.5,6.566666666666666,1.5,22.0,long
2025-03-04 18:00:00+00:00,2025-03-07 00:00:00+00:00,0.9399,0.8304,17.04711096963122468310445611,-1.880814572123800871776787884,-11.73852537503989786147462496,ranging,range_rsi_bb,stop_loss,-13.12905628258325353761038408,9.352058729652090647941270348,-1.7875926967065834,1.5,6.566666666666666,1.5,54.0,long
2025-03-07 08:00:00+00:00,2025-03-07 12:00:00+00:00,0.8719,0.8689,18.05305357786193135552627609,-0.06984545898739002622139560956,-0.4437320793668998738387429752,trending_down,range_rsi_bb,stop_loss,-1.422181442826012157357495126,2.064456933134533776809267118,-0.06757341310155836,1.5,6.566666666666666,1.5,4.0,long
2025-03-07 16:00:00+00:00,2025-03-09 10:00:00+00:00,0.8296,0.7749,18.96092164379183877163711521,-1.051855232097187876672691803,-6.686945515911282545805207331,ranging,trend_macd,stop_loss,-7.099807135969141755062680810,4.484088717454194792671166827,-1.018316576027099,1.5,6.566666666666666,1.5,42.0,long
2025-03-10 02:00:00+00:00,2025-03-10 11:00:00+00:00,0.7445,0.7571,20.91632278156498490725217864,0.2477099190697959597580968264,1.590718603089321692411014103,trending_down,range_rsi_bb,stop_loss,-1.974479516453995970449966420,4.580255204835460040295500336,0.24224141163796778,1.5,6.566666666666666,1.5,9.0,long
2025-03-11 02:00:00+00:00,2025-03-11 08:00:00+00:00,0.6938,0.7277,22.49835514375266742204231986,0.7463221863351066095242144471,4.781248198328048428942058230,trending_down,range_rsi_bb,stop_loss,-0.1585471317382530988757567022,5.722110118189680023061400980,0.7281088626895506,1.5,6.566666666666666,1.5,6.0,long
2025-03-12 12:00:00+00:00,2025-03-12 18:00:00+00:00,0.7605,0.7303,20.67233021260468987355896605,-0.6394013751749268391961408876,-4.067100591715976331360946746,ranging,range_rsi_bb,signal_exit,-6.324786324786324786324786325,0.5785667324128862590401051940,-0.6193554200582705,1.5,6.566666666666666,1.5,6.0,long
2025-03-13 16:00:00+00:00,2025-03-14 05:00:00+00:00,0.7025,0.7138,22.24255789382153398286430256,0.2354641663755735230493980797,1.506932384341637010676156583,ranging,range_rsi_bb,signal_exit,-1.651245551601423487544483986,1.608540925266903914590747331,0.2294820889860361,1.5,6.566666666666666,1.5,13.0,long
2025-03-14 13:00:00+00:00,2025-03-20 08:00:00+00:00,0.7261,0.7355,21.56826407570026670075689610,0.1868782240839049608287081262,1.193292934857457650461368957,ranging,range_rsi_bb,signal_exit,-6.128632419776890235504751412,4.586145159068998760501308360,0.1817197362727093,1.5,6.566666666666666,1.5,139.0,long
2025-03-20 14:00:00+00:00,2025-03-21 15:00:00+00:00,0.754,0.7038,20.80735846018375251398393698,-1.059173613585501701221335531,-6.751167108753315649867374005,ranging,range_rsi_bb,stop_loss,-7.055702917771883289124668435,0.03978779840848806366047745358,-1.0280965140233476,1.5,6.566666666666666,1.5,25.0,long
2025-03-22 14:00:00+00:00,2025-03-23 01:00:00+00:00,0.7011,0.7074,22.15072348729243209294064778,0.1238801361750316557229798668,0.7976893453145057766367137356,ranging,range_rsi_bb,signal_exit,-0.5705320211096847810583368992,1.198117244330338040222507488,0.12147553481946788,1.5,6.566666666666666,1.5,11.0,long
2025-03-23 18:00:00+00:00,2025-03-23 23:00:00+00:00,0.6942,0.7107,22.39765810626185377228339836,0.3536433431372002877667142617,2.274459809853068280034572169,ranging,range_rsi_bb,signal_exit,-0.3601267646211466436185537309,2.391241717084413713627196773,0.3463644380486906,1.5,6.566666666666666,1.5,5.0,long
2025-03-24 04:00:00+00:00,2025-03-25 05:00:00+00:00,0.7238,0.7414,21.55498861403365423029033197,0.3633869310485477632067725906,2.329179331306990881458966566,ranging,range_rsi_bb,signal_exit,-0.4006631666206134291240674219,2.956617850234871511467256148,0.3546973600975113,1.5,6.566666666666666,1.5,25.0,long
2025-03-26 07:00:00+00:00,2025-03-27 06:00:00+00:00,0.768,0.739,20.38542812304015767755879971,-0.6062422469510912491729211446,-3.872265624999999999999999999,ranging,range_rsi_bb,signal_exit,-6.289062500,0.8333333333333333333333333333,-0.5896851205583756,1.5,6.566666666666666,1.5,23.0,long
